Название;Дата начала;Дата окончания;Статус организатора;Банковские реквизиты
Услуги по обеспечению безопасности;2020-12-15 09:00:00;2020-12-20 15:31:51;Завершено;"БИК: NBRKKZKX, ИИК: KZ96125KZTF004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупках услуги стирки и дезинфекции специальной одежды;2020-12-11 09:00:00;2020-12-11 14:43:12;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию насосного оборудования;2020-12-21 09:00:00;2020-12-21 23:11:36;Завершено;"БИК: NBRKKZKX, ИИК: KZ50125KZTH007100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
закупка канцелярских товаров;2020-12-02 09:00:00;2020-12-02 10:04:32;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Перезарядка огнетушителей;2020-12-08 09:00:00;2020-12-15 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка колбасы полукопченой, сосисок говяжьих, колбасы вареной;2020-12-20 09:00:00;2020-12-21 19:34:40;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
 о  закупках услуг по индивидуальному дозиметрическому контролю ;2020-12-20 13:00:00;2020-12-20 15:24:17;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTP004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка противогаза изолирующего ;2020-12-11 09:00:00;2020-12-22 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки питьевой воды ;2020-12-02 09:00:00;2020-12-03 13:51:50;Завершено;"БИК: VTBAKZKZ, ИИК: KZ264322203398B01022, КБЕ: 16, Банк: ДО АО ""Банк ВТБ (Казахстан)"", КАТО: 751410000, г. Алматы, ул. Тимирязева, 28в"
Закупка баклажан, зелени, кабачков, капусты квашеной, капусты цветной, капусты белокочанной, картофеля, лимона, лука репчатого, моркови, огурцов соленых, огурцов свежих, перцев, помидоров, свеклы, редиса, редьки, тыквы, чеснока, яблок свежих;2020-12-20 09:00:00;2020-12-21 20:42:50;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по проведению аудита/сертификации систем менеджмента;2020-12-08 09:00:00;2020-12-09 15:19:16;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
о закупках услуг по техническому обслуживанию рентгеновского досмотрового оборудования для досмотра ручной клади и багажа;2020-12-20 13:00:00;2020-12-22 13:39:06;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTP004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2020-12-02 09:00:00;2020-12-03 17:40:01;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка услуги технического обслуживания холодильного оборудования;2020-12-11 09:00:00;2020-12-21 13:50:05;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по страхованию ответственности должностных лиц;2020-12-08 09:00:00;2020-12-08 14:56:19;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию лифтов/лифтовых шахт и аналогичного оборудования;2020-12-15 09:00:00;2020-12-20 14:32:50;Завершено;"БИК: NBRKKZKX, ИИК: KZ96125KZTF004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
о  закупках услуг охранного мониторинга и обслуживания охранной сигнализации ;2020-12-20 13:00:00;2020-12-22 10:05:20;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTP004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Передача данных IP VPN;2020-12-10 09:00:00;2020-12-20 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Знак безопасности;2020-12-02 09:00:00;2020-12-09 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по пользованию информационной системой электронных закупок;2020-12-15 09:00:00;2020-12-23 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по утилизации имущества;2020-12-08 09:00:00;2020-12-10 17:04:44;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
о  закупках услуг по техническому обслуживанию системы  пожарной сигнализации  ;2020-12-20 13:00:00;2020-12-22 11:56:14;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTP004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию пожарной/охранной сигнализации/систем тушения/видеонаблюдения и аналогичного оборудования;2020-12-15 09:00:00;2020-12-21 19:57:28;Завершено;"БИК: NBRKKZKX, ИИК: KZ96125KZTF004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
закупка товарно-материальных запасов ;2020-12-02 09:00:00;2020-12-09 12:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
